#Alamein Line - To Alamein,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,
#station,Parliament,Melbourne Central,Flagstaff,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Flagstaff,Melbourne Central,Parliament,Richmond,East Richmond,Burnley,Hawthorn,Glenferrie,Auburn,Camberwell,Riversdale,Willison,Hartwell,Burwood,Asburton,Alamein
t86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13:07,13:10,13:11,13:13,13:14,13:16,13:18
t87,-,-,-,-,-,12:57,13:00,13:02,13:03,13:05,13:08,|,13:11,13:13,13:15,13:17,13:19,-,-,-,-,-,-
t88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13:22,13:25,13:26,13:28,13:29,13:31,13:33
t89,-,-,-,-,-,13:12,13:15,13:17,13:18,13:20,13:23,|,13:26,13:28,13:30,13:32,13:34,-,-,-,-,-,-
t90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13:37,13:40,13:41,13:43,13:44,13:46,13:48
t91,-,-,-,-,-,13:27,13:30,13:32,13:33,13:35,13:38,|,13:41,13:43,13:45,13:47,13:49,-,-,-,-,-,-
t92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13:52,13:55,13:56,13:58,13:59,14:01,14:03
t93,-,-,-,-,-,13:42,13:45,13:47,13:48,13:50,13:53,|,13:56,13:58,14:00,14:02,14:04,-,-,-,-,-,-
t94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14:07,14:10,14:11,14:13,14:14,14:16,14:18
t95,-,-,-,-,-,13:57,14:00,14:02,14:03,14:05,14:08,|,14:11,14:13,14:15,14:17,14:19,-,-,-,-,-,-
t96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14:22,14:25,14:26,14:28,14:29,14:31,14:33
t97,-,-,-,-,-,14:12,14:15,14:17,14:18,14:20,14:23,|,14:26,14:28,14:30,14:32,14:34,-,-,-,-,-,-
t98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14:37,14:40,14:41,14:43,14:44,14:46,14:48
t99,-,-,-,-,-,14:23,14:26,14:28,14:29,14:31,14:34,14:36,14:38,14:40,14:42,14:44,14:47,14:50,14:51,14:53,14:54,14:56,14:59
t100,-,-,-,-,-,14:30,14:33,14:35,14:36,14:38,14:41,|,|,|,14:45,|,14:49,-,-,-,-,-,-
t101,-,-,-,-,-,14:38,14:41,14:43,14:44,14:46,14:49,14:51,14:53,14:55,14:57,14:59,15:02,15:05,15:06,15:08,15:09,15:11,15:14
t102,-,-,-,-,-,14:45,14:48,14:50,14:51,14:53,14:56,|,|,|,15:00,|,15:04,-,-,-,-,-,-
t103,-,-,-,-,-,14:59,,,,,15:02,15:04,15:06,15:08,15:10,15:12,15:14,-,-,-,-,-,-
t104,-,-,-,-,-,15:02,15:05,15:07,15:08,15:10,15:13,|,|,|,15:17,|,15:21,-,-,-,-,-,-
t105,-,-,-,-,-,15:08,15:11,15:13,15:14,15:16,15:19,15:21,15:23,15:25,15:27,15:29,15:31,-,-,-,-,-,-
t106,-,-,-,-,-,15:13,15:16,15:18,15:19,15:21,15:24,15:26,15:28,15:30,15:32,15:34,15:37,15:40,15:41,15:43,15:44,15:46,15:49
t107,-,-,-,-,-,15:15,15:18,15:20,15:21,15:23,15:26,|,|,|,15:30,|,15:34,-,-,-,-,-,-
t108,-,-,-,-,-,15:21,15:24,15:26,15:27,15:29,15:32,|,|,|,15:36,|,15:40,-,-,-,-,-,-
t109,-,-,-,-,-,15:23,15:26,15:28,15:29,15:31,15:34,15:36,15:38,15:40,15:42,15:44,15:46,-,-,-,-,-,-
t110,-,-,-,-,-,15:28,15:31,15:33,15:35,15:37,15:40,|,|,|,15:44,|,15:48,-,-,-,-,-,-
t111,-,-,-,-,-,15:32,15:35,15:37,15:39,15:41,15:44,15:46,15:48,15:50,15:52,15:54,15:56,15:59,16:01,16:03,16:04,16:06,16:08
t112,-,-,-,-,-,15:36,15:39,15:41,15:43,15:45,15:48,|,|,|,15:52,|,15:56,-,-,-,-,-,-
t113,-,-,-,-,-,15:38,15:41,15:43,15:45,15:47,15:50,15:52,15:54,15:56,15:58,16:00,16:02,-,-,-,-,-,-
t114,-,-,-,-,-,15:44,15:47,15:49,15:51,15:53,15:56,|,|,|,16:00,|,16:04,-,-,-,-,-,-
t115,-,-,-,-,-,15:46,15:49,15:51,15:53,15:55,15:58,16:00,16:02,16:04,16:06,16:08,16:10,16:13,16:15,16:17,16:18,16:20,16:22
t116,-,-,-,-,-,15:51,15:54,15:56,15:58,16:00,16:03,|,|,|,16:07,|,16:11,-,-,-,-,-,-
t117,-,-,-,-,-,15:53,15:56,15:58,16:00,16:02,16:05,16:07,16:09,16:11,16:13,16:15,16:17,-,-,-,-,-,-
t118,-,-,-,-,-,15:59,16:02,16:04,16:06,16:08,16:11,|,|,|,16:15,|,16:19,-,-,-,-,-,-
t119,-,-,-,-,-,16:01,16:04,16:06,16:08,16:10,16:13,16:15,16:17,16:19,16:21,16:23,16:25,16:28,16:30,16:32,16:33,16:35,16:37
t120,-,-,-,-,-,16:14,16:17,16:19,16:21,16:23,16:26,|,|,|,|,|,16:33,-,-,-,-,-,-
t121,-,-,-,-,-,16:17,,,,,16:20,|,16:23,16:25,16:27,16:29,16:31,-,-,-,-,-,-
t122,-,-,-,-,-,16:21,16:24,16:26,16:28,16:30,16:33,|,|,|,16:37,|,16:41,-,-,-,-,-,-
t123,-,-,-,-,-,16:24,,,,,16:27,16:29,16:31,16:33,16:35,16:37,16:39,16:42,16:44,16:46,16:48,16:50,16:51
t124,-,-,-,-,-,16:30,16:33,16:35,16:37,16:39,16:42,|,|,|,|,|,16:49,-,-,-,-,-,-
