#Sunbury Line - To Sunbury,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Southern Cross,Flagstaff,Melbourne Central,Parliament,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Parliament,Melbourne Central,Flagstaff,North Melbourne,South Kensington,Footscray,Middle Footscray,West Footscray,Tottenham,Sunshine,Albion,Ginifer,St Albans,Keilor Plains,Watergardens,Diggers Rest,Sunbury
t70,-,-,-,-,-,10:11,10:14,,,,10:17,10:20,10:23,-,-,-,-,-,-,-,-,-,-,-
t71,-,10:08,10:10,10:12,10:15,10:19,10:22,,,,10:26,|,10:30,10:32,10:33,10:36,10:39,10:42,10:45,10:47,10:50,10:54,11:01,11:07
t72,-,-,-,-,-,10:21,10:24,,,,10:27,10:30,10:33,-,-,-,-,-,-,-,-,-,-,-
t73,-,-,-,-,-,10:31,10:34,,,,10:37,10:40,10:43,-,-,-,-,-,-,-,-,-,-,-
t74,-,10:28,10:30,10:32,10:35,10:39,10:42,,,,10:46,|,10:50,10:52,10:53,10:56,10:59,11:02,11:05,11:07,11:10,11:14,-,-
t75,-,-,-,-,-,10:41,10:44,,,,10:47,10:50,10:53,-,-,-,-,-,-,-,-,-,-,-
t76,-,-,-,-,-,10:51,10:54,,,,10:57,11:00,11:03,-,-,-,-,-,-,-,-,-,-,-
t77,-,10:48,10:50,10:52,10:55,10:59,11:02,,,,11:06,|,11:10,11:12,11:13,11:16,11:19,11:22,11:25,11:27,11:30,11:34,11:41,11:47
t78,-,-,-,-,-,11:01,11:04,,,,11:07,11:10,11:13,-,-,-,-,-,-,-,-,-,-,-
t79,-,-,-,-,-,11:11,11:14,,,,11:17,11:20,11:23,-,-,-,-,-,-,-,-,-,-,-
t80,-,11:08,11:10,11:12,11:15,11:19,11:22,,,,11:26,|,11:30,11:32,11:33,11:36,11:39,11:42,11:45,11:47,11:50,11:54,-,-
t81,-,-,-,-,-,11:21,11:24,,,,11:27,11:30,11:33,-,-,-,-,-,-,-,-,-,-,-
t82,-,-,-,-,-,11:31,11:34,,,,11:37,11:40,11:43,-,-,-,-,-,-,-,-,-,-,-
t83,-,11:28,11:30,11:32,11:35,11:39,11:42,,,,11:46,|,11:50,11:52,11:53,11:56,11:59,12:02,12:05,12:07,12:10,12:14,12:21,12:27
t84,-,-,-,-,-,11:41,11:44,,,,11:47,11:50,11:53,-,-,-,-,-,-,-,-,-,-,-
t85,-,-,-,-,-,11:51,11:54,,,,11:57,12:00,12:03,-,-,-,-,-,-,-,-,-,-,-
t86,-,11:48,11:50,11:52,11:55,11:59,12:02,,,,12:06,|,12:10,12:12,12:13,12:16,12:19,12:22,12:25,12:27,12:30,12:34,-,-
t87,-,-,-,-,-,12:01,12:04,,,,12:07,12:10,12:13,-,-,-,-,-,-,-,-,-,-,-
t88,-,-,-,-,-,12:11,12:14,,,,12:17,12:20,12:23,-,-,-,-,-,-,-,-,-,-,-
t89,-,-,-,-,-,12:19,12:22,,,,12:26,|,12:30,12:32,12:33,12:36,12:39,12:42,12:45,12:47,12:50,12:54,13:01,13:07
t90,-,-,-,-,-,12:21,12:24,,,,12:27,12:30,12:33,-,-,-,-,-,-,-,-,-,-,-
t91,-,-,-,-,-,12:31,12:34,,,,12:37,12:40,12:43,-,-,-,-,-,-,-,-,-,-,-
t92,-,12:28,12:30,12:32,12:35,12:39,12:42,,,,12:46,|,12:50,12:52,12:53,12:56,12:59,13:02,13:05,13:07,13:10,13:14,-,-
t93,-,-,-,-,-,12:41,12:44,,,,12:47,12:50,12:53,-,-,-,-,-,-,-,-,-,-,-
t94,-,-,-,-,-,12:51,12:54,,,,12:57,13:00,13:03,-,-,-,-,-,-,-,-,-,-,-
t95,-,-,-,-,-,12:57,,12:59,13:01,13:03,13:06,|,13:10,13:12,13:13,13:16,13:19,13:22,13:25,13:27,13:30,13:34,13:41,13:47
t96,-,-,-,-,-,13:01,13:04,,,,13:07,13:10,13:13,-,-,-,-,-,-,-,-,-,-,-
t97,-,-,-,-,-,13:11,13:14,,,,13:17,13:20,13:23,-,-,-,-,-,-,-,-,-,-,-
t98,13:09,,,,13:13,13:17,,13:19,13:21,13:23,13:26,|,13:30,13:32,13:33,13:36,13:39,13:42,13:45,13:47,13:50,13:54,-,-
t99,-,-,-,-,-,13:21,13:24,,,,13:27,13:30,13:33,-,-,-,-,-,-,-,-,-,-,-
t100,-,-,-,-,-,13:31,13:34,,,,13:37,13:40,13:43,-,-,-,-,-,-,-,-,-,-,-
t101,13:29,,,,13:33,13:37,,13:39,13:41,13:43,13:46,|,13:50,13:52,13:53,13:56,13:59,14:02,14:05,14:07,14:10,14:14,14:21,14:27
t102,-,-,-,-,-,13:41,13:44,,,,13:47,13:50,13:53,-,-,-,-,-,-,-,-,-,-,-
t103,-,-,-,-,-,13:51,13:54,,,,13:57,14:00,14:03,-,-,-,-,-,-,-,-,-,-,-
t104,13:49,,,,13:53,13:57,,13:59,14:01,14:03,14:06,|,14:10,14:12,14:13,14:16,14:19,14:22,14:25,14:27,14:30,14:34,-,-
t105,-,-,-,-,-,14:01,14:04,,,,14:07,14:10,14:13,-,-,-,-,-,-,-,-,-,-,-
t106,-,-,-,-,-,14:11,14:14,,,,14:17,14:20,14:23,-,-,-,-,-,-,-,-,-,-,-
t107,14:09,,,,14:13,14:17,,14:19,14:21,14:23,14:26,|,14:30,14:32,14:33,14:36,14:39,14:42,14:45,14:47,14:50,14:54,15:01,15:07
t108,-,-,-,-,-,14:21,14:24,,,,14:27,14:30,14:33,-,-,-,-,-,-,-,-,-,-,-
t109,-,-,-,-,-,14:31,14:34,,,,14:37,14:40,14:43,-,-,-,-,-,-,-,-,-,-,-
t110,-,-,-,-,-,14:37,,14:39,14:41,14:43,14:46,|,14:50,14:52,14:53,14:56,14:59,15:02,15:05,15:07,15:10,15:14,-,-
t111,-,-,-,-,-,14:41,14:44,,,,14:47,14:50,14:53,-,-,-,-,-,-,-,-,-,-,-
t112,-,-,-,-,-,14:51,14:54,,,,14:57,15:00,15:03,-,-,-,-,-,-,-,-,-,-,-
t113,14:49,,,,14:53,14:57,,14:59,15:01,15:03,15:06,|,15:10,15:12,15:13,15:16,15:19,15:22,15:25,15:27,15:30,15:34,15:41,15:47
t114,-,-,-,-,-,15:01,15:04,,,,15:07,15:10,15:13,-,-,-,-,-,-,-,-,-,-,-
t115,-,-,-,-,-,15:11,15:14,,,,15:17,15:20,15:23,-,-,-,-,-,-,-,-,-,-,-
t116,15:10,,,,15:14,15:16,,15:18,15:20,15:22,15:26,|,15:31,15:33,15:34,15:37,15:40,15:43,15:46,15:48,15:51,15:55,16:02,16:08
t117,-,-,-,-,-,15:21,15:24,,,,15:27,15:30,15:33,-,-,-,-,-,-,-,-,-,-,-
t118,-,-,-,-,-,15:24,,15:26,15:28,15:30,15:34,|,15:39,15:41,15:42,15:45,15:48,15:51,15:54,15:56,15:59,16:03,-,-
t119,-,-,-,-,-,15:31,15:34,,,,15:37,15:40,15:43,-,-,-,-,-,-,-,-,-,-,-
t120,15:30,,,,15:36,15:36,,15:38,15:40,15:42,15:46,|,15:51,15:53,15:54,15:57,16:00,16:03,16:06,16:08,16:11,16:15,16:22,16:28
t121,-,-,-,-,-,15:41,15:44,,,,15:47,15:50,15:53,-,-,-,-,-,-,-,-,-,-,-
t122,-,-,-,-,-,15:44,,15:46,15:48,15:50,15:54,|,15:59,16:01,16:02,16:05,16:08,16:11,16:14,16:16,16:19,16:23,-,-
t123,-,-,-,-,-,15:51,15:54,,,,15:57,16:00,16:03,-,-,-,-,-,-,-,-,-,-,-
t124,15:50,,,,15:56,15:56,,15:58,16:00,16:02,16:06,|,16:11,16:13,16:14,16:17,16:20,16:23,16:26,16:28,16:31,16:35,16:42,16:48
t125,-,-,-,-,-,16:01,16:04,,,,16:07,16:10,16:13,-,-,-,-,-,-,-,-,-,-,-
t126,-,-,-,-,-,16:04,,16:06,16:08,16:10,16:14,|,16:19,16:21,16:22,16:25,16:28,16:31,16:34,16:36,16:39,16:43,-,-
t127,-,-,-,-,-,16:09,16:12,,,,16:15,16:18,16:21,-,-,-,-,-,-,-,-,-,-,-
t128,-,-,-,-,-,16:16,,16:18,16:20,16:22,16:26,|,16:31,16:33,16:34,16:37,16:40,16:43,16:46,16:48,16:51,16:55,17:02,17:08
t129,-,-,-,-,-,16:19,16:22,,,,16:25,16:28,16:31,-,-,-,-,-,-,-,-,-,-,-
t130,-,-,-,-,-,16:24,,16:26,16:28,16:30,16:34,|,16:39,16:41,16:42,16:45,16:48,16:51,16:54,16:56,16:59,17:03,-,-
t131,-,-,-,-,-,16:29,16:32,,,,16:35,16:38,16:41,-,-,-,-,-,-,-,-,-,-,-
t132,16:30,,,,16:36,16:36,,16:38,16:40,16:42,16:46,|,16:51,16:53,16:54,16:57,17:00,17:03,17:06,17:08,17:11,17:15,17:22,17:28
t133,-,-,-,-,-,16:37,16:40,,,,16:44,16:47,16:49,-,-,-,-,-,-,-,-,-,-,-
t134,-,-,-,-,-,16:39,16:42,,,,16:46,|,16:52,-,-,-,-,-,-,-,-,-,-,-
t135,-,-,-,-,-,16:44,,16:46,16:48,16:50,16:54,|,16:59,17:01,17:02,17:05,17:08,17:11,17:14,17:16,17:19,17:23,-,-
t136,-,-,-,-,-,16:49,16:53,,,,16:56,16:59,17:01,-,-,-,-,-,-,-,-,-,-,-
t137,16:44,,,,16:50,16:50,,16:52,16:54,16:56,17:00,|,17:05,17:07,17:08,17:11,17:14,17:17,17:20,17:22,17:25,17:29,-,-
t138,-,-,-,-,-,16:53,16:56,,,,16:59,|,17:04,-,-,-,-,-,-,-,-,-,-,-
t139,16:50,,,,16:56,16:56,,16:58,17:00,17:02,17:06,|,17:11,|,|,|,17:20,17:23,17:26,17:28,17:31,17:35,17:42,17:48
t140,-,-,-,-,-,17:00,17:03,,,,17:06,17:09,17:11,-,-,-,-,-,-,-,-,-,-,-
t141,-,-,-,-,-,17:03,17:06,,,,17:09,|,17:14,-,-,-,-,-,-,-,-,-,-,-
t142,-,-,-,-,-,17:04,,17:06,17:08,17:10,17:14,|,17:19,17:21,17:22,17:25,17:28,17:31,17:34,17:36,17:39,17:43,-,-
t143,17:04,,,,17:10,17:10,,17:12,17:14,17:16,17:20,|,17:25,|,|,|,17:34,17:37,17:40,17:42,17:45,17:49,17:56,18:02
t144,-,-,-,-,-,17:11,17:14,,,,17:17,17:20,17:22,-,-,-,-,-,-,-,-,-,-,-
t145,-,-,-,-,-,17:14,17:17,,,,17:20,|,17:25,-,-,-,-,-,-,-,-,-,-,-
t146,17:10,,,,17:16,17:16,,17:18,17:20,17:22,17:26,|,17:31,17:33,17:34,17:37,17:40,17:43,17:46,17:48,17:51,17:55,-,-
t147,-,-,-,-,-,17:22,17:25,,,,17:28,17:31,17:33,-,-,-,-,-,-,-,-,-,-,-
t148,-,-,-,-,-,17:24,,17:26,17:28,17:30,17:34,|,17:39,|,|,|,17:49,17:52,17:55,17:57,18:00,18:04,18:11,18:17
t149,-,-,-,-,-,17:25,17:28,,,,17:31,|,17:36,-,-,-,-,-,-,-,-,-,-,-
t150,-,-,-,-,-,17:30,,17:32,17:34,17:36,17:40,|,17:45,17:47,17:48,17:51,17:54,17:57,18:00,18:02,18:05,18:09,-,-
t151,-,-,-,-,-,17:33,17:36,,,,17:39,17:42,17:44,-,-,-,-,-,-,-,-,-,-,-
t152,-,-,-,-,-,17:36,17:39,,,,17:42,|,17:47,-,-,-,-,-,-,-,-,-,-,-
t153,17:30,,,,17:36,17:36,,17:38,17:40,17:42,17:46,|,17:51,|,|,|,18:00,18:03,18:06,18:08,18:11,18:15,18:22,18:28
t154,-,-,-,-,-,17:44,17:47,,,,17:50,17:53,17:55,-,-,-,-,-,-,-,-,-,-,-
t155,-,-,-,-,-,17:44,,17:46,17:48,17:50,17:54,|,17:59,18:01,18:02,18:05,18:08,18:11,18:14,18:16,18:19,18:23,-,-
t156,-,-,-,-,-,17:47,17:50,,,,17:53,|,17:58,-,-,-,-,-,-,-,-,-,-,-
t157,17:44,,,,17:50,17:50,,17:52,17:54,17:56,18:00,|,18:05,|,|,|,18:14,18:17,18:20,18:22,18:25,18:29,18:36,18:42
t158,-,-,-,-,-,17:55,17:58,,,,18:01,18:04,18:06,-,-,-,-,-,-,-,-,-,-,-
t159,-,-,-,-,-,17:56,,17:58,18:00,18:02,18:06,|,18:11,18:13,18:14,18:17,18:20,18:23,18:26,18:28,18:31,18:35,-,-
t160,-,-,-,-,-,17:58,18:01,,,,18:04,|,18:09,-,-,-,-,-,-,-,-,-,-,-
t161,-,-,-,-,-,18:04,,18:06,18:08,18:10,18:14,|,18:19,18:21,18:22,18:25,18:28,18:31,18:34,18:36,18:39,18:43,18:50,18:56
t162,-,-,-,-,-,18:06,18:09,,,,18:12,18:15,18:17,-,-,-,-,-,-,-,-,-,-,-
t163,-,-,-,-,-,18:10,18:13,,,,18:16,|,18:21,-,-,-,-,-,-,-,-,-,-,-
t164,18:10,,,,18:16,18:16,,18:18,18:20,18:22,18:26,|,18:31,18:33,18:34,18:37,18:40,18:43,18:46,18:48,18:51,18:55,19:02,19:08
t165,-,-,-,-,-,18:17,18:20,,,,18:23,18:26,18:28,-,-,-,-,-,-,-,-,-,-,-
t166,-,-,-,-,-,18:20,18:23,,,,18:26,|,18:31,-,-,-,-,-,-,-,-,-,-,-
t167,-,-,-,-,-,18:24,,18:26,18:28,18:30,18:34,|,18:39,18:41,18:42,18:45,18:48,18:51,18:54,18:56,18:59,19:03,-,-
t168,-,-,-,-,-,18:25,18:28,,,,18:31,18:34,18:36,-,-,-,-,-,-,-,-,-,-,-
t169,-,-,-,-,-,18:32,18:35,,,,18:38,18:41,18:44,-,-,-,-,-,-,-,-,-,-,-
