#Belgrave Line - To City,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Belgrave,Tecoma,Upwey,Upper Ferntree Gully (ARR),Upper Ferntree Gully (DEP),Ferntree Gully,Boronia,Bayswater,Heathmont,Ringwood,Heatherdale,Mitcham,Nunawading,Blackburn,Laburnum,Box Hill,Mont Albert,Surrey Hills,Chatham,Canterbury,East Camberwell,Camberwell,Auburn,Glenferrie
t76,-,-,-,-,-,-,-,-,-,10:25,10:27,10:29,10:32,10:35,|,10:39,|,|,|,|,|,10:45,|,10:48
t77,-,-,-,-,-,-,-,-,-,-,-,-,-,10:37,10:39,10:42,10:44,10:45,10:47,10:49,10:51,10:53,10:55,10:57
t78,10:17,10:19,10:21,10:25,10:25,10:28,10:30,10:33,10:37,10:40,10:42,10:44,10:47,10:50,|,10:54,|,|,|,|,|,11:00,|,11:03
t79,-,-,-,-,-,-,-,-,-,-,-,-,-,10:52,10:54,10:57,10:59,11:00,11:02,11:04,11:06,11:08,11:10,11:12
t80,-,-,-,-,-,-,-,-,-,10:55,10:57,10:59,11:02,11:05,|,11:09,|,|,|,|,|,11:15,|,11:18
t81,-,-,-,-,-,-,-,-,-,-,-,-,-,11:07,11:09,11:12,11:14,11:15,11:17,11:19,11:21,11:23,11:25,11:27
t82,10:47,10:49,10:51,10:55,10:55,10:58,11:00,11:03,11:07,11:10,11:12,11:14,11:17,11:20,|,11:24,|,|,|,|,|,11:30,|,11:33
t83,-,-,-,-,-,-,-,-,-,-,-,-,-,11:22,11:24,11:27,11:29,11:30,11:32,11:34,11:36,11:38,11:40,11:42
t84,-,-,-,-,-,-,-,-,-,11:25,11:27,11:29,11:32,11:35,|,11:39,|,|,|,|,|,11:45,|,11:48
t85,-,-,-,-,-,-,-,-,-,-,-,-,-,11:37,11:39,11:42,11:44,11:45,11:47,11:49,11:51,11:53,11:55,11:57
t86,11:17,11:19,11:21,11:25,11:25,11:28,11:30,11:33,11:37,11:40,11:42,11:44,11:47,11:50,|,11:54,|,|,|,|,|,12:00,|,12:03
t87,-,-,-,-,-,-,-,-,-,-,-,-,-,11:52,11:54,11:57,11:59,12:00,12:02,12:04,12:06,12:08,12:10,12:12
t88,-,-,-,-,-,-,-,-,-,11:55,11:57,11:59,12:02,12:05,|,12:09,|,|,|,|,|,12:15,|,12:18
t89,-,-,-,-,-,-,-,-,-,-,-,-,-,12:07,12:09,12:12,12:14,12:15,12:17,12:19,12:21,12:23,12:25,12:27
t90,11:47,11:49,11:51,11:55,11:55,11:58,12:00,12:03,12:07,12:10,12:12,12:14,12:17,12:20,|,12:24,|,|,|,|,|,12:30,|,12:33
t91,-,-,-,-,-,-,-,-,-,-,-,-,-,12:22,12:24,12:27,12:29,12:30,12:32,12:34,12:36,12:38,12:40,12:42
t92,-,-,-,-,-,-,-,-,-,12:25,12:27,12:29,12:32,12:35,12:37,12:40,12:42,12:43,12:45,12:47,12:49,12:51,12:53,12:55
t93,12:17,12:19,12:21,12:25,12:25,12:28,12:30,12:33,12:37,12:40,12:42,12:44,12:47,12:50,12:52,12:55,12:57,12:58,13:00,13:02,13:04,13:06,13:08,13:10
t94,-,-,-,-,-,-,-,-,-,12:55,12:57,12:59,13:02,13:05,13:07,13:10,13:12,13:13,13:15,13:17,13:19,13:21,13:23,13:25
t95,12:47,12:49,12:51,12:55,12:55,12:58,13:00,13:03,13:07,13:10,13:12,13:14,13:17,13:20,13:22,13:25,13:27,13:28,13:30,13:32,13:34,13:36,13:38,13:40
t96,-,-,-,-,-,-,-,-,-,13:25,13:27,13:29,13:32,13:35,13:37,13:40,13:42,13:43,13:45,13:47,13:49,13:51,13:53,13:55
t97,13:17,13:19,13:21,13:25,13:25,13:28,13:30,13:33,13:37,13:40,13:42,13:44,13:47,13:50,13:52,13:55,13:57,13:58,14:00,14:02,14:04,14:06,14:08,14:10
t98,-,-,-,-,-,-,-,-,-,13:55,13:57,13:59,14:02,14:05,14:07,14:10,14:12,14:13,14:15,14:17,14:19,14:21,14:23,14:25
t99,13:47,13:49,13:51,13:55,13:55,13:58,14:00,14:03,14:07,14:10,14:12,14:14,14:17,14:20,14:22,14:25,14:27,14:28,14:30,14:32,14:34,14:36,|,|
t100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14:38,14:40,14:42
t101,-,-,-,-,-,-,-,-,-,14:25,14:27,14:29,14:32,14:35,14:37,14:40,14:42,14:43,14:45,14:47,14:49,14:51,|,14:54
t102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14:53,14:55,14:57
t103,14:17,14:19,14:21,14:25,14:25,14:28,14:30,14:33,14:37,14:40,14:42,14:44,14:47,14:50,14:52,14:55,14:57,14:58,15:00,15:02,15:04,15:06,|,15:09
t104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15:08,15:10,15:12
t105,-,-,-,-,-,-,-,-,-,14:55,14:57,14:59,15:02,15:05,15:07,15:10,15:12,15:13,15:15,15:17,15:19,15:21,|,15:24
t106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15:23,15:25,15:27
t107,-,-,-,-,-,-,-,-,-,15:02,15:04,15:06,15:09,15:12,15:14,15:17,15:19,15:20,15:22,15:24,15:26,15:28,15:30,15:32
t108,14:47,14:49,14:51,14:55,14:55,14:58,15:00,15:03,15:07,15:10,15:12,15:14,15:17,15:20,15:22,15:25,15:27,15:28,15:30,15:32,15:34,15:36,|,15:39
t109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15:38,15:40,15:42
t110,-,-,-,-,-,-,-,-,-,15:17,15:19,15:21,15:24,15:27,15:29,15:32,15:34,15:35,15:37,15:39,15:41,15:43,15:45,15:47
t111,-,-,-,-,-,-,-,-,-,15:25,15:27,15:29,15:32,15:35,15:37,15:40,15:42,15:43,15:45,15:47,15:49,15:51,|,15:54
t112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15:53,15:55,15:57
t113,-,-,-,-,-,-,-,-,-,15:31,15:33,15:35,15:38,15:41,15:43,15:46,15:48,15:49,15:51,15:53,15:55,15:57,15:59,16:01
t114,15:17,15:19,15:21,15:25,15:25,15:28,15:30,15:33,15:37,15:40,15:42,15:44,15:47,15:50,15:52,15:55,|,|,|,|,|,16:02,|,16:05
t115,-,-,-,-,-,-,-,-,-,-,-,-,-,15:52,15:54,15:57,15:59,16:00,16:02,16:04,16:06,16:08,16:10,16:12
t116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16:11,16:13,16:15
t117,-,-,-,-,-,-,-,-,-,15:55,15:57,15:59,16:02,16:05,16:07,16:10,|,|,|,|,|,16:17,|,16:20
t118,-,-,-,-,-,-,-,-,-,-,-,-,-,16:07,16:09,16:12,16:14,16:15,16:17,16:19,16:21,16:23,16:25,16:27
t119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16:27,16:29,16:31
t120,15:47,15:49,15:51,15:55,15:55,15:58,16:00,16:03,16:07,16:10,16:12,16:14,16:17,16:20,16:22,16:25,|,|,|,|,|,16:32,|,16:35
t121,-,-,-,-,-,-,-,-,-,-,-,-,-,16:23,|,16:27,16:29,16:30,16:32,16:34,16:36,16:38,16:40,16:42
